"obj","site1","site2","site3"
0.355730675936987,9,19,23
0.355664652337631,9,19,31
0.355658519750518,11,22,31
0.355630261799552,4,7,21
0.355560310341994,3,7,24
0.355499177205039,11,22,29
0.355467012984185,6,15,24
0.355447207321611,5,9,30
0.355426909931173,7,19,30
0.355408180933701,4,11,23
0.355276350411517,9,13,24
0.355274300064901,8,10,27
0.355268657556735,6,15,22
0.355143174577247,8,24,26
0.355058620785767,9,13,22
0.355009722739049,8,15,24
0.354997615035199,2,10,15
0.354996078065597,8,15,22
0.354989033377454,3,9,21
0.354989033377454,3,11,21
0.354989033377454,3,12,21
0.354966996376279,7,29,30
0.354920915638407,9,12,30
0.354888734912486,1,9,11
0.354854750021228,9,10,25
0.354830601728941,5,7,11
0.354830601728941,7,9,11
0.354830601728941,7,11,12
0.354827441003366,2,9,29
0.354804860726818,11,22,26
0.354793107592838,2,11,30
0.354770549352615,8,13,21
0.354723616757176,1,3,22
0.354694226571234,7,10,21
0.354664564545792,9,10,20
0.354659456481838,9,23,31
0.354588400274515,12,19,22
0.354588400274515,12,22,23
0.354501112221746,5,7,22
0.35449106420881,4,9,21
0.354488603020378,8,13,19
0.354458979114557,3,15,24
0.354442315995208,6,29,30
0.354379866963787,10,11,26
0.354342484447202,12,19,30
0.354310664702469,3,6,24
0.354310664702469,6,24,27
0.354310664702469,6,24,30
0.354272737355692,2,5,22
0.35427095273894,11,19,30
0.354254618553667,6,14,24
0.354249760106854,3,15,22
0.354230185354399,6,14,22
0.354223342416859,10,14,24
0.354206320816844,10,15,24
0.354165342195889,11,24,26
0.354131132267721,11,19,21
0.354131132267721,11,21,23
0.35412242229766,3,23,24
0.35412242229766,6,23,24
0.354088417209102,4,10,15
0.354056711358823,2,3,24
0.354056711358823,2,6,24
0.35405455990513,1,8,29
0.353976254680872,7,13,21
0.353966534541014,8,14,24
0.353947921458519,4,10,21
0.353938353036748,8,14,22
0.353779319566933,2,13,21
0.353777686286792,1,7,22
0.35374216547907,9,21,22
0.353699365446442,9,22,25
0.353647549784629,6,24,29
0.353573190783047,1,11,23
0.353567675802985,9,15,24
0.353530882743912,2,11,23
0.353530882743912,8,11,23
0.353530882743912,8,12,23
0.35348124474287,6,11,30
0.353447506864178,9,24,28
0.353407517836449,9,22,28
0.353402803708678,8,19,29
0.353399080894163,2,11,21
0.353399080894163,8,11,21
0.353399080894163,8,12,21
0.353348775542883,9,15,22
0.353341376395817,6,15,21
0.353256548093433,2,13,19
0.353247492495553,10,12,27
0.353227632620202,11,13,19
0.353175794890643,3,14,24
0.353139239865154,9,21,24
0.353137253313646,3,14,22
0.353104638494937,9,24,25
0.353091359551492,1,2,22
0.353064957756916,8,15,21
